banco;valor_imovel;taxa;prazo;slug;cet;ltv;prazo_maximo
Caixa;150000;11.49;360;simulador-caixa-150-mil-360-meses;11.64;80;420
Caixa;150000;11.49;420;simulador-caixa-150-mil-420-meses;11.64;80;420
Caixa;200000;11.49;360;simulador-caixa-200-mil-360-meses;11.64;80;420
Caixa;200000;11.49;420;simulador-caixa-200-mil-420-meses;11.64;80;420
Caixa;250000;11.49;360;simulador-caixa-250-mil-360-meses;11.64;80;420
Caixa;250000;11.49;420;simulador-caixa-250-mil-420-meses;11.64;80;420
Caixa;300000;11.49;360;simulador-caixa-300-mil-360-meses;11.64;80;420
Caixa;300000;11.49;420;simulador-caixa-300-mil-420-meses;11.64;80;420
Caixa;350000;11.49;360;simulador-caixa-350-mil-360-meses;11.64;80;420
Caixa;350000;11.49;420;simulador-caixa-350-mil-420-meses;11.64;80;420
Caixa;400000;11.49;360;simulador-caixa-400-mil-360-meses;11.64;80;420
Caixa;400000;11.49;420;simulador-caixa-400-mil-420-meses;11.64;80;420
Caixa;450000;11.49;360;simulador-caixa-450-mil-360-meses;11.64;80;420
Caixa;450000;11.49;420;simulador-caixa-450-mil-420-meses;11.64;80;420
Caixa;500000;11.49;360;simulador-caixa-500-mil-360-meses;11.64;80;420
Caixa;500000;11.49;420;simulador-caixa-500-mil-420-meses;11.64;80;420
Caixa;550000;11.49;360;simulador-caixa-550-mil-360-meses;11.64;80;420
Caixa;550000;11.49;420;simulador-caixa-550-mil-420-meses;11.64;80;420
Caixa;600000;11.49;360;simulador-caixa-600-mil-360-meses;11.64;80;420
Caixa;600000;11.49;420;simulador-caixa-600-mil-420-meses;11.64;80;420
Caixa;650000;11.49;360;simulador-caixa-650-mil-360-meses;11.64;80;420
Caixa;650000;11.49;420;simulador-caixa-650-mil-420-meses;11.64;80;420
Caixa;700000;11.49;360;simulador-caixa-700-mil-360-meses;11.64;80;420
Caixa;700000;11.49;420;simulador-caixa-700-mil-420-meses;11.64;80;420
Caixa;750000;11.49;360;simulador-caixa-750-mil-360-meses;11.64;80;420
Caixa;750000;11.49;420;simulador-caixa-750-mil-420-meses;11.64;80;420
Caixa;800000;11.49;360;simulador-caixa-800-mil-360-meses;11.64;80;420
Caixa;800000;11.49;420;simulador-caixa-800-mil-420-meses;11.64;80;420
Caixa;850000;11.49;360;simulador-caixa-850-mil-360-meses;11.64;80;420
Caixa;850000;11.49;420;simulador-caixa-850-mil-420-meses;11.64;80;420
Caixa;900000;11.49;360;simulador-caixa-900-mil-360-meses;11.64;80;420
Caixa;900000;11.49;420;simulador-caixa-900-mil-420-meses;11.64;80;420
Caixa;950000;11.49;360;simulador-caixa-950-mil-360-meses;11.64;80;420
Caixa;950000;11.49;420;simulador-caixa-950-mil-420-meses;11.64;80;420
Caixa;1000000;11.49;360;simulador-caixa-1000-mil-360-meses;11.64;80;420
Caixa;1000000;11.49;420;simulador-caixa-1000-mil-420-meses;11.64;80;420
Caixa;1050000;11.49;360;simulador-caixa-1050-mil-360-meses;11.64;80;420
Caixa;1050000;11.49;420;simulador-caixa-1050-mil-420-meses;11.64;80;420
Caixa;1100000;11.49;360;simulador-caixa-1100-mil-360-meses;11.64;80;420
Caixa;1100000;11.49;420;simulador-caixa-1100-mil-420-meses;11.64;80;420
Caixa;1150000;11.49;360;simulador-caixa-1150-mil-360-meses;11.64;80;420
